iter	Passed	Remaining
0	1	1415
1	3	1545
2	4	1561
3	6	1527
4	8	1750
5	10	1697
6	11	1639
7	12	1574
8	13	1527
9	16	1632
10	17	1586
11	19	1583
12	21	1627
13	22	1608
14	24	1583
15	25	1557
16	26	1541
17	27	1519
18	28	1490
19	30	1470
20	31	1449
21	33	1479
22	34	1468
23	35	1449
24	37	1467
25	38	1455
26	40	1443
27	41	1428
28	42	1414
29	43	1401
30	44	1396
31	45	1386
32	46	1374
33	48	1378
34	49	1372
35	51	1366
36	55	1433
37	56	1426
38	57	1414
39	58	1401
40	59	1391
41	61	1411
42	63	1406
43	64	1399
44	65	1390
45	66	1381
46	67	1373
47	68	1363
48	69	1355
49	71	1360
50	72	1358
51	74	1351
52	78	1404
53	79	1395
54	80	1386
55	81	1380
56	83	1373
57	84	1367
58	85	1358
59	86	1359
60	88	1358
61	89	1354
62	93	1384
63	94	1375
64	95	1368
65	96	1360
66	97	1351
67	98	1345
68	99	1339
69	100	1331
70	101	1331
71	103	1330
72	104	1324
73	106	1333
74	107	1329
75	109	1325
76	110	1321
77	111	1315
78	112	1309
79	113	1303
80	114	1297
81	115	1296
82	116	1286
83	117	1281
84	121	1312
85	124	1323
86	126	1322
87	127	1320
88	128	1316
89	129	1312
90	131	1309
91	132	1305
92	133	1300
93	134	1295
94	136	1303
95	137	1298
96	138	1293
97	139	1288
98	141	1288
99	143	1290
100	144	1285
101	145	1284
102	147	1283
103	148	1279
104	153	1307
105	155	1308
106	156	1304
107	157	1298
108	158	1292
109	159	1286
110	160	1281
111	161	1279
112	162	1277
113	163	1272
114	168	1300
115	170	1298
116	171	1291
117	172	1286
118	173	1282
119	174	1276
120	174	1270
121	176	1267
122	177	1267
123	179	1264
124	181	1272
125	183	1271
126	184	1266
127	185	1262
128	186	1257
129	187	1253
130	188	1248
131	189	1243
132	190	1239
133	191	1238
134	192	1235
135	194	1233
136	195	1232
137	196	1228
138	197	1224
139	198	1220
140	199	1217
141	200	1211
142	201	1207
143	202	1203
144	203	1199
145	204	1196
146	205	1192
147	206	1188
148	207	1185
149	209	1187
150	210	1184
151	211	1179
152	212	1175
153	213	1172
154	214	1168
155	215	1164
156	216	1160
157	217	1156
158	217	1152
159	218	1149
160	219	1143
161	220	1141
162	221	1138
163	222	1134
164	223	1130
165	224	1127
166	225	1123
167	226	1120
168	227	1117
169	228	1114
170	229	1110
171	230	1107
172	231	1104
173	231	1100
174	232	1096
175	233	1093
176	234	1090
177	235	1088
178	236	1084
179	237	1081
180	238	1079
181	239	1076
182	240	1073
183	241	1070
184	242	1067
185	243	1064
186	244	1061
187	244	1057
188	245	1054
189	246	1052
190	247	1049
191	248	1046
192	249	1043
193	250	1041
194	251	1038
195	252	1036
196	253	1035
197	254	1032
198	255	1029
199	256	1026
200	257	1024
201	258	1021
202	259	1019
203	260	1016
204	261	1014
205	262	1011
206	263	1009
207	264	1006
208	265	1004
209	266	1002
210	267	1000
211	268	998
212	269	997
213	270	994
214	272	993
215	273	991
216	274	989
217	275	986
218	276	984
219	277	982
220	278	979
221	278	977
222	279	975
223	281	973
224	282	972
225	283	971
226	284	970
227	286	969
228	288	970
229	289	969
230	291	969
231	292	968
232	294	969
233	297	975
234	299	974
235	302	978
236	304	979
237	305	978
238	306	976
239	307	974
240	308	972
241	310	971
242	311	970
243	312	969
244	314	968
245	315	966
246	316	965
247	317	963
248	318	961
249	320	960
250	321	958
251	322	958
252	324	958
253	326	959
254	328	958
255	329	957
256	331	957
257	332	956
258	333	955
259	335	953
260	336	952
261	337	951
262	339	950
263	342	954
264	343	952
265	344	951
266	345	949
267	346	947
268	348	946
269	349	944
270	350	943
271	351	941
272	352	940
273	354	938
274	355	938
275	357	939
276	359	938
277	360	936
278	361	935
279	363	933
280	364	932
281	365	930
282	366	928
283	367	926
284	368	924
285	370	923
286	371	923
287	373	922
288	374	921
289	375	919
290	376	917
291	378	917
292	379	915
293	380	914
294	382	913
295	383	912
296	385	912
297	386	911
298	388	910
299	389	909
300	391	909
301	392	907
302	393	905
303	394	904
304	395	902
305	397	900
306	398	899
307	399	897
308	400	896
309	401	894
310	402	892
311	403	890
312	405	889
313	406	887
314	407	886
315	408	884
316	409	882
317	410	881
318	412	879
319	413	878
320	414	877
321	415	875
322	417	874
323	418	872
324	419	871
325	420	869
326	421	868
327	422	866
328	423	864
329	425	863
330	426	862
331	427	860
332	428	859
333	430	857
334	431	856
335	433	855
336	434	854
337	435	852
338	436	851
339	437	850
340	439	849
341	440	848
342	442	846
343	443	846
344	445	846
345	447	845
346	448	843
347	450	843
348	451	841
349	452	840
350	453	838
351	454	837
352	456	835
353	457	834
354	458	832
355	459	830
356	460	829
357	461	827
358	462	825
359	463	823
360	464	821
361	465	820
362	466	818
363	467	816
364	468	814
365	469	812
366	470	810
367	471	809
368	472	807
369	473	805
370	474	803
371	474	801
372	475	800
373	476	798
374	477	795
375	478	794
376	479	792
377	480	790
378	481	788
379	482	786
380	483	785
381	484	783
382	485	782
383	486	780
384	487	778
385	488	776
386	489	775
387	490	773
388	491	771
389	492	770
390	493	768
391	494	766
392	495	765
393	496	763
394	497	761
395	498	759
396	499	757
397	499	756
398	500	754
399	501	752
400	502	751
401	503	749
402	504	747
403	505	745
404	506	744
405	507	742
406	508	740
407	509	738
408	510	737
409	511	735
410	511	733
411	513	732
412	514	730
413	514	728
414	515	727
415	516	725
416	517	724
417	518	722
418	519	720
419	520	719
420	521	717
421	522	716
422	523	714
423	524	712
424	525	711
425	526	709
426	527	707
427	528	706
428	529	704
429	530	702
430	531	701
431	536	705
432	540	707
433	546	712
434	550	715
435	555	718
436	559	720
437	563	723
438	567	724
439	571	727
440	573	726
441	575	726
442	577	726
443	579	725
444	581	725
445	583	724
446	585	724
447	588	724
448	589	723
449	591	723
450	593	722
451	596	722
452	598	722
453	600	722
454	602	721
455	604	721
456	606	720
457	608	720
458	610	719
459	612	719
460	614	718
461	616	718
462	619	718
463	621	717
464	623	717
465	625	716
466	627	716
467	629	715
468	631	715
469	633	714
470	635	713
471	637	713
472	639	712
473	641	712
474	643	711
475	645	710
476	647	710
477	649	709
478	651	708
479	653	708
480	655	707
481	657	707
482	660	706
483	662	705
484	664	705
485	666	704
486	668	704
487	670	703
488	672	703
489	674	702
490	676	701
491	679	701
492	681	700
493	683	699
494	685	699
495	687	698
496	689	698
497	692	697
498	694	697
499	696	696
500	698	695
501	700	695
502	702	694
503	704	693
504	706	692
505	707	691
506	710	690
507	711	689
508	713	688
509	714	686
510	715	685
511	717	683
512	718	682
513	719	680
514	721	679
515	722	677
516	723	675
517	724	674
518	725	672
519	727	671
520	728	669
521	729	667
522	730	666
523	731	664
524	732	662
525	733	660
526	733	658
527	735	657
528	735	655
529	736	653
530	737	651
531	738	649
532	739	648
533	740	646
534	741	644
535	742	643
536	743	641
537	744	639
538	745	637
539	746	635
540	747	634
541	748	632
542	749	630
543	750	628
544	750	626
545	751	625
546	752	623
547	753	621
548	754	619
549	755	618
550	756	616
551	757	615
552	758	613
553	759	611
554	760	610
555	761	608
556	762	606
557	763	605
558	764	603
559	765	601
560	766	599
561	767	598
562	768	596
563	769	595
564	770	593
565	771	591
566	772	590
567	773	588
568	774	586
569	775	585
570	776	583
571	777	581
572	778	580
573	779	578
574	780	577
575	781	575
576	782	573
577	783	572
578	784	570
579	785	569
580	787	567
581	788	566
582	789	564
583	790	562
584	791	561
585	792	559
586	793	558
587	794	556
588	795	555
589	796	553
590	797	551
591	798	550
592	799	548
593	800	546
594	801	545
595	802	543
596	803	542
597	804	540
598	805	538
599	805	537
600	806	535
601	807	534
602	808	532
603	809	530
604	810	529
605	811	527
606	812	526
607	813	524
608	814	522
609	815	521
610	816	519
611	817	518
612	818	516
613	819	514
614	820	513
615	820	511
616	821	510
617	822	508
618	823	506
619	824	505
620	825	503
621	826	502
622	827	500
623	828	499
624	829	497
625	829	495
626	830	494
627	832	492
628	832	491
629	834	489
630	834	488
631	835	486
632	836	485
633	837	483
634	838	481
635	839	480
636	840	479
637	841	477
638	842	475
639	843	474
640	844	472
641	845	471
642	846	469
643	847	468
644	847	466
645	848	465
646	849	463
647	850	462
648	851	460
649	852	459
650	853	457
651	854	456
652	855	454
653	856	453
654	857	451
655	858	450
656	859	448
657	860	447
658	861	445
659	862	444
660	863	442
661	864	441
662	865	439
663	865	438
664	866	436
665	867	435
666	868	433
667	869	432
668	870	430
669	871	429
670	872	427
671	873	426
672	874	424
673	875	423
674	876	421
675	877	420
676	878	418
677	879	417
678	879	416
679	880	414
680	881	413
681	882	411
682	883	410
683	884	408
684	885	407
685	886	405
686	887	404
687	888	402
688	889	401
689	890	399
690	890	398
691	892	397
692	893	395
693	894	394
694	894	392
695	895	391
696	896	389
697	897	388
698	898	386
699	899	385
700	900	384
701	901	382
702	902	381
703	903	379
704	904	378
705	905	377
706	906	375
707	907	374
708	908	372
709	909	371
710	909	369
711	910	368
712	911	367
713	912	365
714	913	364
715	914	362
716	915	361
717	916	359
718	917	358
719	918	357
720	919	355
721	920	354
722	921	352
723	921	351
724	922	350
725	923	348
726	924	347
727	925	345
728	926	344
729	927	343
730	928	341
731	929	340
732	930	338
733	931	337
734	932	336
735	932	334
736	933	333
737	935	331
738	936	330
739	937	329
740	938	327
741	939	326
742	940	325
743	942	324
744	944	323
745	945	321
746	946	320
747	947	319
748	948	317
749	949	316
750	951	315
751	952	314
752	953	312
753	954	311
754	955	310
755	956	308
756	957	307
757	958	306
758	959	304
759	960	303
760	962	302
761	963	300
762	964	299
763	965	298
764	966	296
765	967	295
766	969	294
767	969	293
768	970	291
769	972	290
770	973	289
771	974	287
772	975	286
773	976	285
774	977	283
775	978	282
776	979	281
777	980	279
778	981	278
779	982	277
780	983	275
781	984	274
782	985	272
783	986	271
784	986	270
785	987	268
786	988	267
787	989	266
788	990	264
789	991	263
790	992	262
791	993	260
792	994	259
793	996	258
794	997	257
795	997	255
796	998	254
797	999	253
798	1000	251
799	1001	250
800	1002	249
801	1003	247
802	1004	246
803	1005	245
804	1006	243
805	1007	242
806	1008	241
807	1009	239
808	1010	238
809	1011	237
810	1012	235
811	1013	234
812	1013	233
813	1014	231
814	1015	230
815	1016	229
816	1017	227
817	1018	226
818	1019	225
819	1021	224
820	1022	222
821	1023	221
822	1024	220
823	1025	219
824	1026	217
825	1027	216
826	1028	215
827	1028	213
828	1029	212
829	1030	211
830	1031	209
831	1032	208
832	1034	207
833	1035	206
834	1036	204
835	1036	203
836	1037	202
837	1038	200
838	1039	199
839	1040	198
840	1041	196
841	1042	195
842	1043	194
843	1044	193
844	1045	191
845	1046	190
846	1047	189
847	1048	187
848	1049	186
849	1050	185
850	1052	184
851	1053	183
852	1054	181
853	1055	180
854	1056	179
